15.22;   17.76;18.76
18.77  ;20.89;21.89
NA;17.45;18.45
  13.99;17.44;18.44
18.16;18.08;19.08
12.07;15.24;13.24
16.36;13.73;14.73
18.80;13.61;14.61
16.87;14.34;14.34
18.35;18.77;19.77
11.11;15.56;16.56
14.47;20.46;26.46
18.08;15.87;16.87
16.84;13.20;14.2
16.58;19.92;20.92
16.38;10.32;18.32
16.36;15.68;16.68
15.39;12.42;13.42
15.89;14.45;15.45
16.12;16.28;17.28
16.01;19.87;26.87
18.58;10.84;11.84
14.06;13.29;14.29
17.31;18.83;18.83
18.41;12.69;13.69
16.45;10.11;11.11
15.16;15.77;10.77
13.00;16.20;17.2
11.07;17.52;18.52
17.74;13.74;14.74
12.89;15.51;10.51
17.05;9.22;10.22
10.93;16.51;17.51
11.83;19.69;20.69
13.72;20.46;20.46
15.32;10.36;11.36
13.40;15.01;10.01
13.46;16.31;17.31
12.34;15.39;12.39
14.98;10.32;11.32
15.27;17.46;14.46
13.82;17.66;18.66
20.07;17.48;15.48
15.82;14.10;15.1
12.07;14.91;15.91
13.04;10.23;17.23
13.91;21.26;22.26
15.84;15.63;16.63
19.53;15.56;19.56
18.29;18.12;19.12
15.61;9.88;10.88
15.52;18.55;12.55
14.36;8.06;9.06
13.05;19.10;21.1
15.87;16.82;17.82
16.69;16.64;17.64
13.34;15.81;19.81
14.86;14.14;15.14
13.71;14.72;15.72
17.00;14.84;13.84
18.26;15.71;16.71
17.84;17.37;18.37
16.62;8.63;9.63
15.95;13.93;13.93
13.26;16.54;17.54
13.82;14.76;15.76
15.08;13.55;14.55
15.59;15.19;13.19
18.87;18.05;19.05
13.81;15.30;16.3
15.47;13.38;13.38
17.85;14.95;15.95
14.95;12.72;13.72
14.62;14.86;15.86
13.79;21.60;23.6
12.68;19.86;23.86
15.23;12.00;13
17.04;19.06;20.06
13.60;12.97;13.97
15.00;19.18;20.18
15.68;14.90;15.9
15.22;18.16;13.16
14.50;18.18;19.18
17.89;14.89;15.89
13.44;16.18;13.18
15.49;16.36;17.36
14.49;13.19;14.19
12.65;12.80;13.8
13.34;18.39;13.39
21.23;20.19;21.19
17.46;11.27;12.27
15.87;16.78;17.78
13.70;16.53;13.53
11.95;21.73;22.73
17.39;12.81;13.81
15.82;13.15;14.15
17.00;14.57;13.57
11.57;13.79;14.79
17.13;9.92;10.92
12.19;15.84;16.84
14.59;16.45;13.45
11.41;14.57;15.57
11.10;17.29;18.29
16.03;13.47;14.47
19.42;8.87;9.37
13.93;12.66;13.66
18.06;13.04;14.04
17.14;17.78;18.78
16.02;9.94;10.94
15.91;19.77;23.77
18.99;15.06;16.06
12.62;13.80;14.8
11.85;19.68;20.68
15.09;18.77;19.77
12.66;15.77;13.77
14.64;14.43;15.43
16.73;17.27;18.27
13.74;14.82;15.82
14.59;17.84;16.84
18.00;15.45;16.45
11.86;18.91;19.91
15.13;15.72;16.72
13.32;12.94;13.94
18.15;18.30;19.3
14.28;14.24;15.24
14.13;14.63;16.63
15.96;16.10;17.1
15.43;15.90;16.9
17.04;10.06;11.06
11.86;15.40;16.4
14.06;16.78;17.78
12.88;16.57;17.57
15.69;15.66;16.66
10.32;16.36;16.36
16.95;11.86;12.86
12.10;16.82;17.82
15.06;20.25;26.25
15.49;14.10;15.1
17.34;11.56;12.56
18.56;19.05;26.05
13.41;11.14;12.14
16.24;NA;1
15.55;17.43;16.43
14.86;13.03;14.03
13.71;23.12;24.12
13.89;19.51;26.51
11.76;17.10;18.1
14.95;18.88;19.88
12.10;14.15;15.15
18.55;14.94;16.94
15.54;10.57;11.57
13.67;15.19;16.19
13.53;18.40;16.4
14.33;20.30;21.3
15.43;15.63;16.63
13.50;16.89;16.89
15.80;15.14;16.14
18.41;19.99;20.99
15.55;10.43;16.43
15.14;18.60;19.6
11.97;19.67;20.67
12.18;14.54;15.54
14.57;14.51;16.51
17.80;14.28;15.28
15.31;13.62;14.62
13.51;12.41;13.41
14.10;17.41;16.41
18.09;19.46;20.46
15.89;14.27;15.27
15.73;14.02;15.02
17.85;15.60;16.6
17.62;17.38;18.38
20.84;14.72;15.72
15.37;19.29;20.29
15.95;15.56;16.56
13.90;14.82;15.82
14.34;13.47;14.47
16.36;13.46;14.46
15.32;17.44;15.44
13.62;11.37;12.37
14.32;12.68;19.68
15.28;19.52;22.52
13.38;14.33;13.33
14.61;16.58;17.58
16.58;18.26;19.26
13.70;13.29;14.29
12.70;14.12;19.12
15.29;16.76;17.76
13.46;16.81;17.81
14.12;16.70;17.7
17.00;15.95;16.95
14.37;15.43;16.43
10.45;20.81;26.81
18.22;22.44;20.44
16.41;15.58;11.58
19.40;14.76;12.76
16.16;17.02;18.02
14.01;15.67;16.67
20.13;16.98;15.98
21.35;13.38;16.38
